Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,67,2,Some Random Commen with Id 0
1,1,7,46,0,Some Random Commen with Id 1
2,1,7,2,1,Some Random Commen with Id 2
3,1,7,76,4,Some Random Commen with Id 3
4,1,7,193,7,Some Random Commen with Id 4
5,2,3,189,9,Some Random Commen with Id 5
6,2,3,124,2,Some Random Commen with Id 6
7,2,3,176,5,Some Random Commen with Id 7
8,2,3,134,6,Some Random Commen with Id 8
9,2,3,104,2,Some Random Commen with Id 9
10,2,3,48,9,Some Random Commen with Id 10
11,2,3,178,4,Some Random Commen with Id 11
12,2,3,16,0,Some Random Commen with Id 12
13,3,2,145,3,Some Random Commen with Id 13
14,3,2,29,5,Some Random Commen with Id 14
15,3,2,169,4,Some Random Commen with Id 15
16,3,2,52,3,Some Random Commen with Id 16
17,3,2,88,5,Some Random Commen with Id 17
18,3,2,1,2,Some Random Commen with Id 18
19,3,2,132,4,Some Random Commen with Id 19
20,4,9,114,0,Some Random Commen with Id 20
21,4,9,89,0,Some Random Commen with Id 21
22,4,9,47,6,Some Random Commen with Id 22
23,4,9,44,3,Some Random Commen with Id 23
24,4,9,124,6,Some Random Commen with Id 24
25,4,9,137,1,Some Random Commen with Id 25
26,4,9,136,6,Some Random Commen with Id 26
27,4,9,129,1,Some Random Commen with Id 27
28,5,5,168,1,Some Random Commen with Id 28
29,5,5,80,3,Some Random Commen with Id 29
30,6,0,157,1,Some Random Commen with Id 30
31,6,0,151,4,Some Random Commen with Id 31
32,7,1,72,0,Some Random Commen with Id 32
33,7,1,73,7,Some Random Commen with Id 33
34,7,1,129,7,Some Random Commen with Id 34
35,8,2,193,5,Some Random Commen with Id 35
36,8,2,123,9,Some Random Commen with Id 36
37,8,2,73,2,Some Random Commen with Id 37
38,8,2,87,5,Some Random Commen with Id 38
39,8,2,35,9,Some Random Commen with Id 39
40,8,2,129,5,Some Random Commen with Id 40
41,8,2,126,4,Some Random Commen with Id 41
42,8,2,64,8,Some Random Commen with Id 42
43,9,6,199,4,Some Random Commen with Id 43
44,9,6,1,0,Some Random Commen with Id 44
45,9,6,196,9,Some Random Commen with Id 45
46,9,6,100,2,Some Random Commen with Id 46
47,9,6,103,6,Some Random Commen with Id 47
48,9,6,20,1,Some Random Commen with Id 48
49,9,6,184,6,Some Random Commen with Id 49
50,10,9,97,8,Some Random Commen with Id 50
51,11,1,91,3,Some Random Commen with Id 51
52,11,1,170,0,Some Random Commen with Id 52
53,11,1,172,4,Some Random Commen with Id 53
54,11,1,160,9,Some Random Commen with Id 54
55,11,1,37,9,Some Random Commen with Id 55
56,11,1,110,0,Some Random Commen with Id 56
57,11,1,74,3,Some Random Commen with Id 57
58,11,1,48,1,Some Random Commen with Id 58
59,11,1,59,7,Some Random Commen with Id 59
60,12,5,136,6,Some Random Commen with Id 60
61,12,5,151,2,Some Random Commen with Id 61
62,13,3,34,0,Some Random Commen with Id 62
63,13,3,3,6,Some Random Commen with Id 63
64,13,3,185,6,Some Random Commen with Id 64
65,13,3,198,8,Some Random Commen with Id 65
66,14,2,27,0,Some Random Commen with Id 66
67,14,2,125,6,Some Random Commen with Id 67
68,14,2,75,8,Some Random Commen with Id 68
69,14,2,184,4,Some Random Commen with Id 69
70,14,2,107,4,Some Random Commen with Id 70
71,15,3,28,7,Some Random Commen with Id 71
72,16,8,62,5,Some Random Commen with Id 72
73,16,8,86,9,Some Random Commen with Id 73
74,16,8,180,9,Some Random Commen with Id 74
75,16,8,158,5,Some Random Commen with Id 75
76,16,8,11,6,Some Random Commen with Id 76
77,17,6,197,6,Some Random Commen with Id 77
78,17,6,63,8,Some Random Commen with Id 78
79,17,6,138,2,Some Random Commen with Id 79
80,17,6,150,9,Some Random Commen with Id 80
81,17,6,190,0,Some Random Commen with Id 81
82,18,0,13,0,Some Random Commen with Id 82
83,18,0,172,6,Some Random Commen with Id 83
84,18,0,66,1,Some Random Commen with Id 84
85,18,0,51,8,Some Random Commen with Id 85
86,19,9,124,0,Some Random Commen with Id 86
87,19,9,159,3,Some Random Commen with Id 87
88,19,9,163,3,Some Random Commen with Id 88
89,19,9,191,5,Some Random Commen with Id 89
90,20,0,60,7,Some Random Commen with Id 90
91,20,0,85,6,Some Random Commen with Id 91
92,20,0,14,7,Some Random Commen with Id 92
93,20,0,170,6,Some Random Commen with Id 93
94,20,0,193,5,Some Random Commen with Id 94
95,20,0,186,5,Some Random Commen with Id 95
96,20,0,156,6,Some Random Commen with Id 96
97,20,0,111,1,Some Random Commen with Id 97
98,21,8,147,2,Some Random Commen with Id 98
99,21,8,126,8,Some Random Commen with Id 99
100,21,8,109,7,Some Random Commen with Id 100
101,21,8,4,4,Some Random Commen with Id 101
102,21,8,195,4,Some Random Commen with Id 102
103,21,8,123,1,Some Random Commen with Id 103
104,24,0,25,7,Some Random Commen with Id 104
105,25,7,169,7,Some Random Commen with Id 105
106,25,7,114,8,Some Random Commen with Id 106
107,25,7,28,9,Some Random Commen with Id 107
108,25,7,153,8,Some Random Commen with Id 108
109,25,7,152,7,Some Random Commen with Id 109
110,26,8,112,0,Some Random Commen with Id 110
111,26,8,134,5,Some Random Commen with Id 111
112,26,8,32,0,Some Random Commen with Id 112
113,26,8,100,7,Some Random Commen with Id 113
114,26,8,113,5,Some Random Commen with Id 114
115,26,8,0,7,Some Random Commen with Id 115
